,title,len,tag
0,"['授業', '動画', 'アップ', '学習', '効果', '生徒', '活用', '事例']",8,0
1,"['これから', '社会', '必要', 'ソフト', 'スキル', 'WWL', '拠点', 'コロナ', '禍', '世界', 'つながる', 'リーダーシップ', '教育', '挑戦']",14,0
2,"['自由', 'ポジティブ', 'フィンランド', '教育', '実態', '魅力', '課題', 'フィンランド', '小中学校', '現地', 'レポート']",11,1
3,"['授業', '動画', 'Google', 'ドライブ', 'アップ', 'しよ', '生徒', '共有']",8,0
4,"['Google', 'for', 'Education', '機能', '発表', '名称', '変更', '有料', 'オプション', '追加']",10,0
5,"['学習', 'ノート', '共有', 'サービス', 'Clear', '提供', 'CLEAR', 'コクヨ', 'グループ', '参加']",10,0
6,"['授業', '動画', 'コンテンツ', 'やっ', '撮影', '学校', '現場', 'すぐ', '手順', '紹介']",10,0
7,"['授業', '撮影', '3500', '本', '授業', '動画', 'アップ', 'ねらい', '効果']",9,0
8,"['講義', 'オンライン', 'もたらし', '恩恵', '反転', '授業', '実践', 'むけ']",8,0
9,"['大人', '子ども', '良い', 'フォーカス', 'アプローチ', 'フィンランド', '教育', '現場', '見る', 'ヒント']",10,0
10,"['プログラミング', 'SDGs', '広めよ', '総合', '学習', '実践']",6,0
11,"['AI', '教材', 'atama', 'plus', '立', '命', '館', '連携', '新しい', '高大', '接続', '入試', '在り方', '共同', '研究', '設立']",16,0
12,"['フィンランド', 'ヨーロッパ', '各国', '注目', 'アントレプレナーシップ', '教育', '実態']",7,0
13,"['忙しく', '子ども', 'しっかり', '向き合える', '学校', '違う']",6,0
14,"['オンライン', '環境', '中高生', 'PBL', '支援', '得', '教訓', '教師', '学生', '教え', '支援']",11,0
15,"['企業', '家計', '政府', '知恵', '絞り', '現れる', 'コロナ', '対策', '欠け', '好機', '視点']",11,0
16,"['佐藤', '協', '治', '文教堂', 'グループ', 'ホールディングス', '社長', '地域', '得意', '客', '株主', '書店', '一緒', '築く']",14,1
17,"['最低', '賃金', '引き上げ', '雇用', '減', '時代遅れ', '議論', '捨て', 'なさい']",9,0
18,"['米', '同盟', '大きく', '動かす', 'バイデン', '政権', '軍事', '政策']",8,0
19,"['上旬', '総合', '国土', '空間', '規', '画', '策定', '現代', '版', '万里', '長城', '構築']",12,0
20,"['株式', '資産', '価格', '押し上げ', 'いる', '金利', '量', '議論', '回帰']",9,0
21,"['格差', 'ない', '未来', '創れる', 'イノベーティブ', '公平', '未来', '地球', '燃え', 'いる', '気候', '崩壊', '人類', '救う', 'グリーン', 'ニューディール', '提言']",17,0
22,"['門真', '大阪', ']', 'パナソニック', '城下町', '進化', '期待', '教育', '産業', '住居', '整備', '注ぐ']",12,1
23,"['フルタイム', '働く', '人材', 'よく', 'なっ', 'リモート', '実現', '副業', '人材', '戦略', '活用']",11,0
24,"['石橋', '秀一', 'ブリヂストン', '取締役', '代表', '執行', '役', 'Global', 'CEO', '稼ぐ', '構築', '自動車', '産業', '変化', '勝つ']",15,0
25,"['見え', 'トレンド', 'コロナ', '世界', 'こう', '変わる']",6,0
26,"['始まっ', 'シリコンバレー', 'コロナ', '加速', 'テックジット']",5,0
27,"['いまだ', '残る', '出生', '制限', '緩和', '撤廃', '検討', '子ども', '激減', 'っ子', '政策', '論争']",12,0
28,"['はしゃぎ', 'すぎ', 'スーパー', 'サイクル']",4,0
29,"['医療', '崩壊', '真実', 'サイバーグレートゲーム', '政治', '経済', '技術', 'データ', 'めぐる', '地政学']",10,0
30,"['函館', '北海道', ']', '歴史', '港', '観光', '街', '訪日', '客', '減', 'インフラ', '構築']",12,1
31,"['日本', '比べ', '格段', 'スピード', '規模', '英国', 'ワクチン', '作戦', '見る', '戦争', '記憶']",11,0
32,"['三枝', '富', '博', 'イトーヨーカ堂', '社長', '細かい', '対応', '総合', 'スーパー', '成長']",10,0
33,"['ワクチン', 'ゼロ', '金利', '終わり', '経済', '正常', '世界', '揺れ']",8,0
34,"['左右', 'ポピュリスト', '共闘', '大衆', '怒り', '生む', '構図']",7,0
35,"['武力', '行使', '執行', '管轄', '権', '行使', '差異', '海', '警法', '尖閣', '奪取', '布石']",12,0
36,"['所得', '支援', '重要', '課題', 'ワクチン', 'めぐる', '新興', 'リスク']",8,0
37,"['でたらめ', '科学', 'サイコロ', '量子', 'コンピューター', '日本人', '健康', '社会', '科学']",9,0
38,"['長町', '宮城', '仙台', '太白', ']', '注目', '集める', '仙台', '都心']",9,1
39,"['社会', '責任', '優先', '論調', '経営', '信念', '問わ', '時代', '到来']",9,0
40,"['髙松富', '也', 'ダイドーグループホールディングス', '社長', '鬼', '滅', '効果', '残る', '缶', 'コーヒー', '一手']",11,0
41,"['アポロ', '計画', 'ムーン', 'ショット', '教訓', '国家', '産業', '革新', '先導']",9,0
42,"['アマゾン', '労組', '誕生', 'GAFA', '火種']",5,0
43,"['背景', 'プライバシー', '意識', '高まり', '民間', '顔', '認証', '警戒', '声', '強まる']",10,0
44,"['財', 'サービス', '価格', 'インフレ', 'オオカミ', 'もう', '来']",7,0
45,"['アート', '思考', 'づくり', '101', '現役', '医師', '死な', '生活', 'ファシズム', '偏流', 'ジャック・ドリオ', 'フランス', '人民', '党']",14,0
46,"['伊勢', '三重', ']', '伊勢参り', '固定', 'ファン', '獲得']",7,1
47,"['今後', '発生', 'コスト', 'メリット', '比較', '必要', '東京', '五輪', '開催', 'めぐる', '損得', '勘定']",12,0
48,"['藤井', '輝夫', '東京大学', '次期', '総長', '大学', '発展', 'いく', '共感', '得る', '重要']",11,0
49,"['初', '女性', '初', '黒人', '初', 'オンパレード', '老練', 'バイデン', '大統領', '清新', '骨太', '政権', '運営']",13,0
50,"['始まっ', '規制', '強化', 'うねり', '政権', '増す', '門番', '役', '重み']",9,0
51,"['Go', 'To', 'トラベル', '正反対', '施策', '周到', '春節', '移動', '封じ込め']",9,0
52,"['現行', '法制', '取り締まる', '難しい', '米', '個人', '投資', '結託', '問題']",9,0
53,"['渋沢', '栄一', '日本', 'インフラ', '創っ', '民間', '経済', '巨人', '日本', '経済', '長期', '停滞', '実証', '分析', '明らか', 'メカニズム']",16,0
54,"['静岡', '静岡', ']', '穏やか', '住み', 'よい', '街', '子育て', '支援', '充実']",10,1
55,"['規模', '予防', '接種', '経験', 'ワクチン', '接種', 'いかに', '円滑']",8,0
56,"['田中', '晃', 'WOWOW', '社長', '放送', '局', '意識', '捨て', '独自', 'コンテンツ', '勝負']",11,0
57,"['使っ', '策謀', '民主', '主義', 'ゆっくり', '絞め殺す', '世界', '右派', 'ポピュリスト', 'トランプ', '狡猾']",11,0
58,"['過熱', '韓', '内輪もめ', 'バイデン', '静か', 'ねじ伏せる']",6,0
59,"['米国', '海洋', '覇権', '足元', '揺るがす', '国際', 'ルール', '逸脱', '海', '警法']",10,0
60,"['市場', '投機', '金融', '政策', '及ぼす', '影響', '株価', '上昇', '永遠', 'サイクル']",10,0
61,"['河田', '嗣郎', '男女', '平等', '思想', '近代', '日本', '婦人', '問題', 'ジェンダー', '密', '疎', '社会', '戦略', 'ネットワーク', '分析', '迫る', 'リモート', 'シフト']",19,0
62,"['武蔵小金井', '東京', '小金井', ']', '学校', '街', 'タワマン', '街']",8,0
63,"['業種', '業績', '格差', '拡大', 'すれ', '労組', '逆風', 'コロナ', '春闘', '賃上げ', '偏る', 'ない']",12,0
64,"['森川', '宏', '平', '昭和電工', '社長', '世界', '戦える', '会社', '優', '先度', '低い', '事業', '切り出し']",13,0
65,"['家賃', '持てる', '夢', '叶え', 'ユニーク', '賃貸', '暮らし']",7,1
66,"['新築', 'マンション', '購入', '水害', '心配', '入居', '防災', '対策', '画期的', 'まち', '防災']",11,0
67,"['愛する', '地元', '守る', '防災', 'エキスパート', '育成', '亀有', '始まる', 'まち', '防災']",10,0
68,"['復興', '記憶', '風化', '東北', '復興', '文庫', '立ち', '上げ', '本', '#']",10,0
69,"['海抜', 'm', '地帯', '住む', '親', '助け合える', '地域', 'つながり', 'づくり', 'まち', '防災', '#']",12,0
70,"['住み', '街', '埼玉', '躍進', 'コロナ', '禍', '目覚め', '地元', '愛']",9,1
71,"['持てる', '賃貸', '暮らし', 'コロナ', '禍', 'テレワーク', '以外', '職', '住', '融合', '進む']",11,1
72,"['住宅', 'ローン', '金利', '株価', '考察', '住宅', '市場', '傾向']",8,0
73,"['コロナ', '禍', '自宅', '売り', '増え', '売却', '理由']",7,0
74,"['あなどれ', '木造', 'マンション', 'オフィス', 'ビル', '建て', '最新', '事情']",8,0
75,"['横浜', '駅', '60', '以内', '中古', 'マンション', '価格', '相場', '安い', '駅', 'ランキング', '年版']",12,0
76,"['拠点', '生活', '小・中学校', 'コロナ', '禍', '高まる', 'ニーズ', '受け']",8,1
77,"['拠点', '生活', 'ブーム', '賃貸', '物件', '変わる', '家賃', '下げ']",8,1
78,"['ごみ捨て', '憩い', 'サロン', '奈良', '生駒', 'こみ', '面白い']",7,1
79,"['祖母', '思い出', '住み', '開き', '地域', '子育て', '防災', '住まい']",8,1
80,"['不動産', '家事', '代行', '!?', '電球', '交換', '虫', '駆除', '悩み', '100']",10,1
81,"['山手', '30', '駅', '家賃', '相場', '安い', '駅', 'ランキング', '年版']",9,0
82,"['長引く', 'コロナ', '禍', '大学生', 'オンライン', '授業', '継続', '学生', '部屋', '探し', '影響']",11,0
83,"['熱海', 'まるごと', '!?', '高齢', '人口', '減少', '進む', '観光', 'まち', '居住', '始まる']",11,1
84,"['山手', '沿線', '中古', 'マンション', '価格', '相場', '安い', '駅', 'ランキング', '年版']",10,0
85,"['商店', '街', '百貨店', 'シェア', 'ハウス', '!?', '北九州', '寿', 'つくる', '商店', '街', 'スタンダード']",12,1
86,"['コロナ', '禍', 'クリエイター', '石巻', '集結', '空き家', 'シェア', 'ハウス', '地域', '貢献']",10,1
87,"['震災', 'コロナ', '自然', '災害', 'づくり', '意識', '変わっ']",7,0
88,"['テレワーク', '育休', '取得', '新米', 'パパ', '挑戦', 'クラシゴト', '改革']",8,0
89,"['コロナ', '禍', '高まる', '移住', '熱', '田舎', '暮らし', '本', '編集', '長', '注目', '地域', '特徴']",13,1
90,"['空間', 'デザイナー', 'SUUMO', '編集', '長', '対談', 'これから', '時代', 'LDK', '４つ', '変化', 'トレンド']",12,0
91,"['コロナ', '禍', '首都', '圏', '中古', '住宅', '市場', '動い']",8,0
92,"['横浜', '駅', '60', '以内', '新築', '中古', '一戸建て', '価格', '相場', '安い', '駅', 'ランキング', '年版']",13,0
93,"['縄文', '竪穴', '住居', '暮らし', '送っ']",5,0
94,"['震災', '記憶', '次世代', '伝える', '取り組み', '遺構', '続々']",7,0
95,"['コロナ', '禍', 'ファミリー', 'ルーティン', '発生', '住まい', '影響']",7,0
96,"['大好き', 'すぎ', '移住', '水曜', '札幌', 'なっ', '船橋']",7,0
97,"['震災', '無人', 'なっ', '南', '相馬', '小高', '地区', 'ゼロ', 'まち', 'おこし', '実', '結ぶ']",12,1
98,"['さいたま', '都民', '地元', '愛', '付ける', 'サーキュレーション', 'さいたま', '全国', '広がる', 'サード', 'コミュニティ', '11']",12,1
99,"['コロナ', '影響', '不動産', '市場', '行方']",5,0
100,"['20', '代', 'これから', '住まい', '選び', '変える', '多様', '許容', '柔軟', '世代']",10,0
101,"['東京', '23', '家賃', '相場', '安い', '駅', 'ランキング', '年版']",8,0
102,"['東京', '23', '中古', 'マンション', '価格', '相場', '安い', '駅', 'ランキング', '年版']",10,0
103,"['コロナ', '禍', 'テレワーク', '家族', '暮らす', '選択', 'クラシゴト', '改革']",8,1
104,"['美', '大', '生', '伝説', 'アパート', 'DIY', '放題', '住み', '継ぐ']",9,1
105,"['住宅', '取得', 'リフォーム', '支援', '制度', 'ポイント', '解説']",7,0
106,"['暖かい', '地方', '無断', '熱', 'いい', '鹿児島', '冬季', '死亡', '増加', '率', 'ワースト']",11,0
107,"['京都', '近所', '付き合い', '現代', '生活', '一部', 'シェア', 'コレクティブハウス', '暮らし']",9,1
108,"['リノベーション・オブ・ザ・イヤー', '見る', '最新', 'キーワード', 'コロナ', '禍', '影響']",7,0
109,"['住宅', '市場', '住宅', 'トレンド', '都心', '郊外']",6,0
110,"['ゴミ', '人間', '本性', '出る', 'ゴミ', '清掃', '芸人', 'マシンガンズ', '滝沢', 'インタビュー']",10,0
111,"['パリ', '暮らし', 'インテリア', '壁', 'カラー', 'リング', '狭く', '暗い', '部屋', '変身', '建築', 'アパルトマン']",12,0
112,"['レオナルド', 'ダ・ヴィンチ', '最後', '館', 'クリエイティブ', '息づく', '住まい', '偉人', '宅', '訪問']",10,0
113,"['孤独', '死', '増加', '遺留', '処分', '問題', '危機', '高まる']",8,0
114,"['高齢', '障', 'まぜ', '暮らす', '空き家', '活用', '街', '輪島', 'KABULET']",9,0
115,"['在宅', '密か', '進行', 'サイレント', 'うつ']",5,0
116,"['Dove', 'AXE', '欧米', 'ブランド', 'ジェンダー', '平等', '歩み']",7,0
117,"['対', '初対面', '気軽', 'オンライン', '飲み', '多様']",6,0
118,"['コロナ', '禍', '事業', '拡大', '好機', 'テレ', 'ワーク', '需要', '変える']",9,0
119,"['週休', '大', '週休', '期待', '不安']",5,0
120,"['森', '発言', '契機', 'ダイバーシティ・ポジティブ', '経営']",5,0
121,"['コロナ', '禍', '渋沢', '栄一', '対処']",5,0
122,"['新型', 'コロナ', '封じ込め', 'ベトナム', '手洗い', '普及', '活動', '課題', '解決', '両立', 'ビジネス', 'モデル']",12,0
123,"['電動', '車', '普及', '部品', 'メーカー', '消滅', '海外', '勢', '提携', '活路']",10,0
124,"['ジョブ', '型', '成果', '主義', '誤解']",5,0
125,"['本能寺', '変', '信長', '死角', 'ガバナンス', '軽視', '企業', 'トップ', '解任', '劇']",10,0
126,"['本能寺', '変', '光秀', '決起', '転職', 'エグゼクティブ']",6,0
127,"['御社', 'なぜ', '存在', 'パー', 'パス', '問わ', '理由']",7,0
128,"['オンライン', '飲み', '盛り上げる', 'MC', '傾聴']",5,0
129,"['自動車', 'ニュー', 'ノーマル', 'ポイント']",4,0
130,"['オンライン', '会議', '部屋', '映せ', 'キャラ', '立てる']",6,0
131,"['イノベーション', '技術', '革新', '誤訳', '日本', '企業', '歴史', '学べ']",8,1
132,"['常識', '通用', 'グーグル', '陥っ', '激動期', 'トラップ']",6,0
133,"['地方', '移住', '成功', '戦略', '壁', '風穴', '地域', '新風']",8,1
134,"['参天製薬', 'コマツ', 'ERP', '導入', 'わかる', '経営', 'センス']",7,0
135,"['バイアス', '抑制', '辛口', '評価', 'ウェブ', '面接', '適性', '見極め']",8,0
136,"['テレ', 'ワーク', '地方', '移住', '落とし穴', 'ムラ', '社会', '家族']",8,1
137,"['アドビ・', 'AOKI', '牛', '角', 'サブスク', '成否', '分け', '条件']",8,0
138,"['リアル', 'オンライン', '入社', '意欲', '高める', '構造', '面接']",7,0
139,"['GAFA', '批判', '示す', '独占', '系譜', '米', '競争', '戦略']",8,0
140,"['オンライン', '会議', 'キャラ', '立て', '距離', '縮めよ']",6,0
141,"['東大', 'ゴール', '開成', '校長', '反骨', '人生']",6,0
142,"['400', '教訓', 'トヨタ', 'ホンダ', 'なぜ', '時代', 'ワナ', '回避', 'でき', '?']",10,0
143,"['テレ', 'ワーク', '地方', '移住', '落とし穴', 'ムラ', '社会', '家族']",8,1
144,"['Go', 'To', 'トラベル', '停止', '経済', '損失', '5000']",7,0
145,"['魅惑', 'スパイ', 'スライス', 'ビリ', 'ヤニ', 'キ']",6,0
146,"['煮', '味噌', '煮', '変わり種', '44', '缶', '食べ', '比べ', 'イケ', 'サバ', '缶', 'Best']",12,0
147,"['うどん', '!?', '担々麺', '!?', '東京', '唯一', '無二', '醤油', 'ラーメン']",9,0
148,"['迫力', '海苔', '弁', '革命', '戦士', '山田', '水産', 'さば', 'カツ', '海苔', '弁当', '至福', '鯖', '選']",14,0
149,"['土産', '最高', '元祖', 'ヨコハマ', 'シウマイ', '物語']",6,0
150,"['石', '焼き芋', 'なぜ', '石', '焼く', '石', '焼け', 'いい', '石屋', '直撃', '!!']",11,0
151,"['食', 'わかっ', '本当に', '旨い', '鶏肉', '缶詰', 'ランキング', 'BEST']",8,0
152,"['話題', '無印', '良品', '替り', '弁当', '人気', 'ワケ']",7,0
153,"['東京', '旅行', '気分', '北海道', '広島', '沖縄', '郷土', '料理', '旨い']",9,1
154,"['都心', '団地', '密集', 'リトル', 'ベトナム', '潜入']",6,1
155,"['ブレイク', '必至', '東京', '絶品', 'カレー', 'パン', '選']",7,0
156,"['東京', '駅', 'グランスタ', '東京', '買う', '手土産']",6,0
157,"['いつも', '飲み', '旅', '気分', '東京', '駅', '買える', 'つまみ', '日本', '一周']",10,1
158,"['いえ', '揚げ', '増え', '?', 'ナゼ', '探る']",6,0
159,"['SDGs', 'テレビ', '挑戦']",3,0
160,"['ばあちゃん', '恋人', '希代', '郎']",4,0
161,"['英語', '学ぶ', 'サステナビリティ']",3,0
162,"['震災', '東北', 'もたらさ', '新しい', '価値']",5,0
163,"['組織', '運営', '透明', 'ダイバー', 'シティ']",5,0
164,"['小泉', '環境', '相', 'バタリー', 'ケージ', '推奨']",6,0
165,"['地域', 'おせっかい', '困窮', '子ども', '居場所']",5,1
166,"['190', '経済', '効果', 'グリーン', '成長', '戦略', '学習']",7,0
167,"['コロナ', '失業', '長期', '生活', '保護', 'ためらわ']",6,0
168,"['災害', 'ボラ', '歩ん', '活動', '続く']",5,0
169,"['ミシュラン', 'タイヤ', '100', '持続']",4,0
170,"['英国', 'ロレアル', 'アマゾン', '女性', '理系', '進出', '支援']",7,0
171,"['11', '最大', '鎮魂', '竹村', '眞一']",5,0
172,"['起業', 'つきまとう', '不安', '乗り越える']",4,0
173,"['ワイガヤ', '集まる', '環境', '寄り合い', '推進']",5,1
174,"['進歩', 'サステナブル', '素材', '最大', '壁']",5,0
175,"['ブーム', '乗る', '地方', '移住', '定着', '拡大', '条件']",7,1
176,"['エキゾチックペット', '用心', '95', '規制', '強化']",5,0
177,"['ヤフー', 'LINE', '防災', '連携', '経営', '統合', '加速']",7,0
178,"['日本', 'コカ', '再生', 'PET', '割', '達成', '22', '50']",8,0
179,"['コロナ', '実質', '失業', '女性', '103', '男性', '43']",7,0
180,"['小泉', '環境', '相', '社会', '変革', 'カーボンニュートラル', '実現']",7,0
181,"['環境', '倫理', 'デジタル', 'ポスト', 'コロナ', '企業', '経営']",7,0
182,"['ジェンダー', '改革', '日本', '一気に', '進む', 'OECD', '村上', '氏']",8,0
183,"['トヨタ', 'SDGs', '強化', '5000', '社債', '発行']",6,0
184,"['探す', '生かさ', '意味', '311', 'キャンドル', '灯し']",6,0
185,"['ZHD', 'LINE', '経営', '統合', '完了', '課題', '解決', '強化']",8,0
186,"['新型', 'コロナ', '寄付', '増', '世界', '70', 'カ国', '団結']",8,0
187,"['イケア', '家具', '材料', '森林', '買収', 'ワケ']",6,0
188,"['グリーン', '債', '独自', 'プレミアム', '存在']",5,0
189,"['LGBT', '差別', '禁止', '求め', 'NGO', '署名', '活動']",7,0
190,"['世界', '最も', '倫理', '企業', '花王', '連続', '選定']",7,0
191,"['ESG', 'アワード', 'BNP', 'パリバ', '環境', '大臣', '賞']",7,0
192,"['原田', '勝広', '視点', '焦点', '震災', 'ハタチ', '基金']",7,0
193,"['大手', '製造', 'メーカー', 'エンジニア', 'シニア', '起業']",6,0
194,"['コロナ', '見え', 'つながり', '世界', 'ダウン症', '向け']",6,0
195,"['食品', 'ロス', '染料', 'タビオ', 'サステナブル', '靴下']",6,0
196,"['愛好', '増える', 'サステナブルワイン']",3,0
197,"['シャボン', '木製', '母親', '目線', 'プラ', '玩具']",6,0
198,"['ネット', 'ゼロ', 'エンジン', 'EU', 'タクソノミー']",5,0
199,"['企業', '価値', '向上', '説得', 'ストーリー', '作り方']",6,0
200,"['なぜ', '多様', '重要', 'コロナ', '差別', '気付く']",6,0
201,"['B', 'リーグ', 'クラブ', '初めて', '気候', '行動', '枠組み', '認定', '団体']",9,0
202,"['洋服', '青山', 'サステナビリティ', '認証', '男性', 'シャツ']",6,0
203,"['英国', 'グリーン', '革命', '炭鉱', '開発', '矛盾']",6,0
204,"['森', '発言', '示し', '問題', '本質', '藻', '谷', '浩', '介']",9,0
205,"['キリン', '震災', '復興', '続け', '分かっ']",5,0
206,"['国連', '地球', '負荷', '加味', '人間', '開発', '指数', '論説', 'コラム']",9,0
207,"['生存', '率', '%、', '障', '娘', '教え', 'くれ']",7,0
208,"['しんどい', '親子', '本音', '全力', '支える', '西成', 'NPO']",7,0
209,"['学生', '清', '走', '海', 'ごみ', '対策', '海', 'なし', '長野', '高校生', '取り組む', '海洋', 'ごみ', '問題']",14,1
210,"['若手', '漁師', '活動', '先生', '海', '日本', 'プロジェクト', 'キッカケ', '芽生え', '海', '魅力', '伝え']",12,1
211,"['湖上', 'スポーツ', '拠点', '作り', 'パラローイング', '団体', '代表', '琵琶湖', '大会', '開催']",10,1
212,"['バリアフリー', '海', '第一歩', '山形', 'マリンパーク', 'せき', '設置', '常設', 'スロープ']",9,1
213,"['陸奥湾', 'アマモ', '守る', '経営', '日本一', '減少', 'いる', 'アマモ', '再生', '奮闘', '志田', '崇']",12,1
214,"['ごみ', 'SNS', '映え', 'マッチング', '沖縄', '若者', '進める', '新しい', 'ごみ', '拾い', '仕組み']",11,1
215,"['世代', '海女', '漁師', '取り組み', 'アイデア', '海女', '発祥', '鐘崎', '盛り上げる', '若き', '海女', '漁師']",12,1
216,"['日本', '最古', '級', '灯台', '脚光', '！～「', '恋する', '灯台', '認定', '盛り上がる', '淡路島', '江', '埼灯台']",13,1
217,"['学生', '海', '生き物', 'ロボ', '授業', '地元', '三重', 'スズキ', 'イルカ', 'リアル', '再現', 'ロボット', '環境', '教育', '活動']",15,1
218,"['大麦', 'ストロー', '製品', 'アサヒビール', '協力', '高校生', '賛同', '広がる', 'プラ', 'ごみ', '削減']",11,1
219,"['海', 'クイズ', '王', '学校', 'ヒーロー', 'クイズ', '王', '古川', 'プロデュース', '子ども', '海', 'クイズ', '王', 'プロジェクト']",14,1
220,"['介護', 'スタッフ', '無料', 'PCR', '検査', '毎週', '目安', '日本', '財団', '実施']",10,0
221,"['院内', '学級', '生徒', '海中', '体験', '！～', 'Virtual', 'Ocean', 'Project', '実施', 'オンライン', '授業', '水中', 'ローン', 'VR']",15,1
222,"['水族館', 'オンライン', '授業', 'オンライン', '謎', '解き', '海', '水族館', '先駆け', '行わ', '海洋', '問題', '授業']",13,1
223,"['全国', '熱源', 'か月', '巡り', 'ゴール', '熱源', 'サミット', '向け', '展開', '熱源', 'プロジェクト']",11,1
224,"['コロナ', '禍', '高校生', '熱闘', '！～', 'ごみ', '拾い', '高校生', 'チャンピオン', '決定', 'スポ', 'GOMI', '甲子園']",13,1
